产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMM_SHARKFIN,商品,SETTLE_CURRENCY_CODE,字符串,结算货币,,
COMM_SHARKFIN,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_SHARKFIN,商品,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
COMM_SHARKFIN,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_SHARKFIN,商品,STRIKE_PRICE,浮点数,行权价,,正数
COMM_SHARKFIN,商品,TOUCH_RATE,浮点数,触碰收益率,,
COMM_SHARKFIN,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_SHARKFIN,商品,UNDERLYING_CODE,字符串,标的代码,,
COMM_SHARKFIN,商品,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
COMM_SHARKFIN,商品,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
COMM_SHARKFIN,商品,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
COMM_SHARKFIN,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_SHARKFIN,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
COMM_SPREADOPT,商品,BASE_CURRENCY_CODE,字符串,基础货币代码,,
COMM_SPREADOPT,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_SPREADOPT,商品,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
COMM_SPREADOPT,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMM_SPREADOPT,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_SPREADOPT,商品,CURRENCY_PAIR,字符串,货币对,,
COMM_SPREADOPT,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_SPREADOPT,商品,DOWN_BARRIER,浮点数,下障碍价,,
COMM_SPREADOPT,商品,FIXING_ID,字符串,定盘ID,,
COMM_SPREADOPT,商品,INITIAL_PRICE,浮点数,,,
COMM_SPREADOPT,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_SPREADOPT,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_SPREADOPT,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_SPREADOPT,商品,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
COMM_SPREADOPT,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_SPREADOPT,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_SPREADOPT,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_SPREADOPT,商品,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
COMM_SPREADOPT,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_SPREADOPT,商品,STRIKE_PRICE,浮点数,行权价,,正数
COMM_SPREADOPT,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_SPREADOPT,商品,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
